Title,Price,Description,Size,Link
"L'ORÉAL PARIS, Age Perfect Cell Renew",,serum do twarzy na noc,"30 ml, ","https://www.rossmann.pl/Produkt/Serum/LOreal-Paris-Age-Perfect-Cell-Renew-serum-do-twarzy-na-noc-30-ml,390628,9225"
"L'ORÉAL PARIS, Ekspert Wieku 70+",,przeciwzmarszczkowy krem odżywczy na dzień,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Ekspert-Wieku-70-przeciwzmarszczkowy-krem-odzywczy-na-dzien-50-ml,258637,9223"
"L'ORÉAL PARIS, Ekspert Wieku 50+",,przeciwzmarszczkowy krem liftingujący 50+,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Ekspert-Wieku-50-przeciwzmarszczkowy-krem-liftingujacy-50-50-ml,390616,9223"
"L'ORÉAL PARIS, Ekspert Wieku 60+",,przeciwzmarszczkowy krem odbudowujący na noc,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Ekspert-Wieku-60-przeciwzmarszczkowy-krem-odbudowujacy-na-noc-50-ml,223575,9223"
"L'ORÉAL PARIS, Ekspert Wieku 60+",,"kompleksowy krem modelujący na dzień i na noc twarz, szyja, dekolt","50ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Ekspert-Wieku-60-kompleksowy-krem-modelujacy-na-dzien-i-na-noc-twarz-szyja-dekolt-50,239014,9223"
"L'ORÉAL PARIS, Ekspert Wieku 50+",,przeciwzmarszczkowy krem ujędrniający na dzień,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Ekspert-Wieku-50-przeciwzmarszczkowy-krem-ujedrniajacy-na-dzien-50-ml,223565,9223"
"L'ORÉAL PARIS, Ekspert Wieku 60+",,przeciwzmarszczkowy krem odbudowujący na dzień,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Ekspert-Wieku-60-przeciwzmarszczkowy-krem-odbudowujacy-na-dzien-50-ml,223574,9223"
"L'ORÉAL PARIS, Ekspert Wieku 50+",,przeciwzmarszczkowy krem ujędrniający na noc,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Ekspert-Wieku-50-przeciwzmarszczkowy-krem-ujedrniajacy-na-noc-50-ml,223572,9223"
"AA, Technologia Wieku 5 Repair 50+ Aktywny Lifting",,regenerujący krem rozświetlający na noc,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/AA-Technologia-Wieku-5-Repair-50-Aktywny-Lifting-regenerujacy-krem-rozswietlajacy-na-noc-50-ml,381311,9223"
"L'ORÉAL PARIS, Ekspert Wieku",,"przeciwzmarszczkowy krem pod oczy, 50+","15 ml, ","https://www.rossmann.pl/Produkt/Kremy-pod-oczy/LOreal-Paris-Ekspert-Wieku-przeciwzmarszczkowy-krem-pod-oczy-50-15-ml,342678,9224"
"L'ORÉAL PARIS, Ekspert Wieku",,"przeciwzmarszczkowy krem odbudowujący pod oczy, 60+","15 ml, ","https://www.rossmann.pl/Produkt/Kremy-pod-oczy/LOreal-Paris-Ekspert-Wieku-przeciwzmarszczkowy-krem-odbudowujacy-pod-oczy-60-15-ml,342650,9224"
"AA, Technologia Wieku 5 Repair 50+ Aktywny Lifting",,liftingujący krem rozświetlający na dzień,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/AA-Technologia-Wieku-5-Repair-50-Aktywny-Lifting-liftingujacy-krem-rozswietlajacy-na-dzien-50-ml,381310,9223"
"AA, Technologia Wieku 5 Repair 50+ Aktywny Lifting",,rewitalizujący krem rozświetlający pod oczy,"15 ml, ","https://www.rossmann.pl/Produkt/Kremy-pod-oczy/AA-Technologia-Wieku-5-Repair-50-Aktywny-Lifting-rewitalizujacy-krem-rozswietlajacy-pod-oczy-15-ml,381297,9224"
"CHRISTIAN LAURENT, Bakuchiol",,"odmładzający krem-lifting poprawiający gęstość skóry, na dzień i na noc, 60+","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Christian-Laurent-Bakuchiol-odmladzajacy-krem-lifting-poprawiajacy-gestosc-skory-na-dzien-i-na-noc-,357732,9223"
"DERMIKA, Luxury Caviar",,krem intensywnie regenerujący pod oczy,"15 ml, ","https://www.rossmann.pl/Produkt/Kremy-pod-oczy/Dermika-Luxury-Caviar-krem-intensywnie-regenerujacy-pod-oczy-15-ml,381354,9224"
"CHRISTIAN LAURENT, Bakuchiol",,"antygrawitacyjny krem-lifting aktywnie modelujący, na dzień i na noc, 50+","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Christian-Laurent-Bakuchiol-antygrawitacyjny-krem-lifting-aktywnie-modelujacy-na-dzien-i-na-noc-50-,357731,9223"
"JANDA, Collagen Reconstructor",,ujędrniający krem redukujący zmarszczki z naturalnym kolagenem na noc,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Janda-Collagen-Reconstructor-ujedrniajacy-krem-redukujacy-zmarszczki-z-naturalnym-kolagenem-na-noc-,331790,9223"
"DERMIKA, Luxury Caviar",,"krem aktywnie regenerujący na dzień i na noc, 60+","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Dermika-Luxury-Caviar-krem-aktywnie-regenerujacy-na-dzien-i-na-noc-60-50-ml,381351,9223"
"DERMIKA, Luxury Caviar",,"krem wypełniający zmarszczki na dzień i na noc, 50+","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Dermika-Luxury-Caviar-krem-wypelniajacy-zmarszczki-na-dzien-i-na-noc-50-50-ml,381350,9223"
"LIRENE, Retinolowe Odżywienie 70+",,przeciwzmarszczkowy krem naprawczy na dzień i na noc,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Lirene-Retinolowe-Odzywienie-70-przeciwzmarszczkowy-krem-naprawczy-na-dzien-i-na-noc-50-ml,173175,9223"
"LIRENE, Bursztynowa Odbudowa 60+",,przeciwzmarszczkowy krem ujędrniający na dzień i na noc,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Lirene-Bursztynowa-Odbudowa-60-przeciwzmarszczkowy-krem-ujedrniajacy-na-dzien-i-na-noc-50-ml,164038,9223"
"BIELENDA, Royal Bee Elixir",,"przeciwzmarszczkowy krem - koncentrat silnie odbudowujący, na dzień i na noc, 70+","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Bielenda-Royal-Bee-Elixir-przeciwzmarszczkowy-krem-koncentrat-silnie-odbudowujacy-na-dzien-i-na-n,372616,9223"
"BIELENDA, Royal Bee Elixir",,"przeciwzmarszczkowy krem - koncentrat aktywnie regenerujący, na dzień i na noc, 60+","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Bielenda-Royal-Bee-Elixir-przeciwzmarszczkowy-krem-koncentrat-aktywnie-regenerujacy-na-dzien-i-na,372617,9223"
"BIELENDA, Royal Bee Elixir",,"przeciwzmarszczkowy krem liftingująco- ujędrniający na dzień i na noc, 50+","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Bielenda-Royal-Bee-Elixir-przeciwzmarszczkowy-krem-liftingujaco-ujedrniajacy-na-dzien-i-na-noc-50-,372618,9223"
"PERFECTA, Fenomen C",,"regenerujący krem odbudowujący na dzień i na noc, 70+, SPF 6","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Perfecta-Fenomen-C-regenerujacy-krem-odbudowujacy-na-dzien-i-na-noc-70-SPF-6-50-ml,276349,9223"
"PERFECTA, Fenomen C",,"regenerujący krem ujędrniający na dzień i na noc, 60+, SPF 6","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Perfecta-Fenomen-C-regenerujacy-krem-ujedrniajacy-na-dzien-i-na-noc-60-SPF-6-50-ml,248619,9223"
"AA, Technologia Wieku 5 Repair 70+ Intensywne Odżywienie",,krem intensywnie regenerujący na dzień i na noc skóra wrażliwa i skłonna do alergii,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/AA-Technologia-Wieku-5-Repair-70-Intensywne-Odzywienie-krem-intensywnie-regenerujacy-na-dzien-i-na,291434,9223"
"PERFECTA, Fenomen C",,"nawilżający krem liftingujący na dzień i na noc, 50+, SPF 6","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Perfecta-Fenomen-C-nawilzajacy-krem-liftingujacy-na-dzien-i-na-noc-50-SPF-6-50-ml,248613,9223"
"AA, Technologia Wieku 5 Repair 70+ Intensywne Odżywienie",,"krem wzmacniający na noc skóra wrażliwa i skłonna do alergii, 70+","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/AA-Technologia-Wieku-5-Repair-70-Intensywne-Odzywienie-krem-wzmacniajacy-na-noc-skora-wrazliwa-i-s,291437,9223"
"AA, Technologia Wieku 5 Repair 60+ Złota Kuracja",,regenerujący krem odbudowujący na noc skóra wrażliwa i skłonna do alergii,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/AA-Technologia-Wieku-5-Repair-60-Zlota-Kuracja-regenerujacy-krem-odbudowujacy-na-noc-skora-wrazliw,291425,9223"
"AA, Technologia Wieku 5 Repair 60+ Złota Kuracja",,krem przeciwzmarszczkowy na dzień skóra wrażliwa i skłonna do alergii,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/AA-Technologia-Wieku-5-Repair-60-Zlota-Kuracja-krem-przeciwzmarszczkowy-na-dzien-skora-wrazliwa-i-,291422,9223"
"AA, Technologia Wieku 5 Repair 70+ Intensywne Odżywienie",,krem pod oczy nawilżająco-odżywczy,"15 ml, ","https://www.rossmann.pl/Produkt/Kremy-pod-oczy/AA-Technologia-Wieku-5-Repair-70-Intensywne-Odzywienie-krem-pod-oczy-nawilzajaco-odzywczy-15-ml,291438,9224"
"EVELINE COSMETICS, Royal Snail",,"skoncentrowany krem aktywnie regenerujący na dzień i na noc, cera dojrzała, 70+","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Eveline-Cosmetics-Royal-Snail-skoncentrowany-krem-aktywnie-regenerujacy-na-dzien-i-na-noc-cera-dojr,297439,9223"
"AA, Technologia Wieku 5 Repair 60+ Złota Kuracja",,ujędrniający krem wzmacniający na noc skóra wrażliwa i skłonna do alergii,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/AA-Technologia-Wieku-5-Repair-60-Zlota-Kuracja-ujedrniajacy-krem-wzmacniajacy-na-noc-skora-wrazliw,291428,9223"
"AA, Technologia Wieku 5 Repair 60+ Złota Kuracja",,krem pod oczy napinająco-odżywczy,"15 ml, ","https://www.rossmann.pl/Produkt/Kremy-pod-oczy/AA-Technologia-Wieku-5-Repair-60-Zlota-Kuracja-krem-pod-oczy-napinajaco-odzywczy-15-ml,291430,9224"
"EVELINE COSMETICS, Royal Snail",,"skoncentrowany krem ultranaprawczy na dzień i na noc, cera dojrzała, 60+","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Eveline-Cosmetics-Royal-Snail-skoncentrowany-krem-ultranaprawczy-na-dzien-i-na-noc-cera-dojrzala-60,297438,9223"
"EVELINE COSMETICS, Royal Snail",,"skoncentrowany krem silnie liftingujący na dzień i na noc, cera dojrzała, 50+","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Eveline-Cosmetics-Royal-Snail-skoncentrowany-krem-silnie-liftingujacy-na-dzien-i-na-noc-cera-dojrza,297435,9223"
"EVELINE COSMETICS, Royal Snail",,"skoncentrowany krem pod oczy i na powieki intensywnie liftingujący, na dzień i na noc, 50+/70+","20 ml, ","https://www.rossmann.pl/Produkt/Kremy-pod-oczy/Eveline-Cosmetics-Royal-Snail-skoncentrowany-krem-pod-oczy-i-na-powieki-intensywnie-liftingujacy-na,297443,9224"
"L'ORÉAL PARIS, Ekspert Wieku 70+",,przeciwzmarszczkowy krem odżywczy na noc,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Ekspert-Wieku-70-przeciwzmarszczkowy-krem-odzywczy-na-noc-50-ml,258640,9223"
"JANDA, Collagen Reconstructor",,ujędrniający krem redukujący zmarszczki z naturalnym kolagenem na dzień,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Janda-Collagen-Reconstructor-ujedrniajacy-krem-redukujacy-zmarszczki-z-naturalnym-kolagenem-na-dzie,331788,9223"
"JANDA, Collagen Reconstructor",,krem pod oczy redukujący zmarszczki i cienie pod oczami,"15 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Janda-Collagen-Reconstructor-krem-pod-oczy-redukujacy-zmarszczki-i-cienie-pod-oczami-15-ml,331792,9223"
"JANDA, Collagen Reconstructor",,"odmładzające serum-odżywka na twarz, szyję i dekolt","50 ml, ","https://www.rossmann.pl/Produkt/Serum/Janda-Collagen-Reconstructor-odmladzajace-serum-odzywka-na-twarz-szyje-i-dekolt-50-ml,331796,9225"
"L'ORÉAL PARIS, Age Perfect Złoty Wiek",,"bogaty krem wzmacniający na noc, skóra dojrzała, 60+","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Age-Perfect-Zloty-Wiek-bogaty-krem-wzmacniajacy-na-noc-skora-dojrzala-60-50-ml,250871,9223"
"L'ORÉAL PARIS, Age Perfect Złoty Wiek",,"różany krem wzmacniający na dzień, skóra dojrzała i pozbawiona blasku, 60+","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Age-Perfect-Zloty-Wiek-rozany-krem-wzmacniajacy-na-dzien-skora-dojrzala-i-pozbawiona-,250869,9223"
"L'ORÉAL PARIS, Age Perfect Cell Renew",,krem na dzień rewitalizujący,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Age-Perfect-Cell-Renew-krem-na-dzien-rewitalizujacy-50-ml,390629,9223"
"L'ORÉAL PARIS, Age Perfect Cell Renew",,krem na noc regenerujący,"50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Age-Perfect-Cell-Renew-krem-na-noc-regenerujacy-50-ml,390631,9223"
"L'ORÉAL PARIS, Age Perfect Cell Renew",,"krem na dzień rewitalizujący, SPF 30","50 ml, ","https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Age-Perfect-Cell-Renew-krem-na-dzien-rewitalizujacy-SPF-30-50-ml,390632,9223"
"L'ORÉAL PARIS, Age Perfect Cell Renew",,krem pod oczy ,"15 ml, ","https://www.rossmann.pl/Produkt/Kremy-pod-oczy/LOreal-Paris-Age-Perfect-Cell-Renew-krem-pod-oczy-15-ml,390630,9224"
